frame_class	vaf	tpm	frame_length
Gene Fusion	0.492	75.42899415362957	18
Hidden Frame	0.3309999999999999	1.118417268685319	41
Indel	1.1751	0.0183347093227101	4
Hidden Frame	0.3249999999999999	1.320099071235131	50
Hidden Frame	0.5685	1.2467602339442905	18
Hidden Frame	0.3249999999999999	1.686793257689334	3
Gene Fusion	0.317	3.776950120478292	18
Gene Fusion	0.494	0.0183347093227101	26
Hidden Frame	0.122	3.336917096733248	101
Hidden Frame	0.3762999999999999	1.796801513625595	37
Gene Fusion	0.3435	1.6134544203984935	8
Hidden Frame	0.5685	8.617313381673773	68
Hidden Frame	0.9335	0.7883925008765366	53
Hidden Frame	0.4925	1.558450292430363	11
Hidden Frame	0.9335	3.1352352941834365	23
Hidden Frame	0.4925	0.5683759890040146	70
Hidden Frame	0.4489999999999999	1.8884750602391456	6
Gene Fusion	0.494	0.5317065703585945	36
Indel	1.0245	0.8067272101992468	12
Gene Fusion	0.3195	1.9434791882072764	26
Indel	0.9326	0.0352452221576843	1
Hidden Frame	0.3355	0.4934331102075802	65
Hidden Frame	0.4515	0.2643391661826322	19
Gene Fusion	0.3279999999999999	0.1409808886307372	6
Indel	0.9326	0.17622611078842149	18
Hidden Frame	0.4165	13.146467864816245	25
Hidden Frame	0.2595	0.5463009434441067	34
Hidden Frame	0.3369999999999999	2.6081464396686385	105
Hidden Frame	0.485	2.5729012175109545	1
Gene Fusion	0.149	0.70490444315368606	1
Gene Fusion	0.286	1.4450541084650566	16
Gene Fusion	0.3279999999999999	0.7401496653113704	46
Hidden Frame	0.4519999999999999	0.4229426658922116	43
Hidden Frame	0.316	0.3172069994191587	17
Indel	0.3381	0.0352452221576843	56
Indel	0.3381	0.0704904443153686	43
Indel	0.9326	2.2204489959341114	16
Gene Fusion	0.412	0.5815461656017911	19
Gene Fusion	0.206	0.6167913877594753	20
Gene Fusion	0.4205	1.7093932746476888	18
Hidden Frame	0.3495	0.17622611078842149	15
Hidden Frame	0.4515	0.2819617772614744	8
Hidden Frame	0.4515	14.23906975170446	5
Gene Fusion	0.4615	1.5331671638592672	2
Hidden Frame	0.4565	0.0176226110788421	22
Indel	1.1685	6.819950487511913	9
Indel	0.3381	0.0176226110788421	2
Indel	0.9834	62.401665830180065	63
Gene Fusion	0.569	0.2114713329461058	6
Hidden Frame	0.4165	0.5286783323652645	4
Hidden Frame	0.633	0.0704904443153686	31
Hidden Frame	0.3245	0.4229426658922116	1
Hidden Frame	0.4515	0.5110557212864224	160
Hidden Frame	0.247	0.2290939440249479	8
Gene Fusion	0.31925	9.868662204151605	29
Indel	0.3381	0.0352452221576843	18
Gene Fusion	0.6635	0.7069176423897425	62
Hidden Frame	0.2265	0.4990006887457006	2
Gene Fusion	0.329	0.7485010331185509	16
Hidden Frame	0.26	0.5821674702033174	6
Hidden Frame	0.1555	5.738507920575557	121
Gene Fusion	0.10635	9.66813834444795	27
Hidden Frame	0.3865	1.081168158949018	4
Hidden Frame	0.2255	0.748501033118551	33
Hidden Frame	0.26	0.7900844238473593	6
Hidden Frame	0.383	1.1007243630318195	24
Hidden Frame	0.3245	0.1657004417467255	15
Hidden Frame	0.4285	12.226325451740534	3
Hidden Frame	0.2225	2.5565211012351936	6
Hidden Frame	0.2694999999999999	0.0946859667124145	29
Gene Fusion	0.27475	0.2130434251029328	47
Gene Fusion	0.27475	0.13019320422957	101
Gene Fusion	0.27475	0.4497583418839693	65
Gene Fusion	0.27475	0.5562800544354357	48
Gene Fusion	0.27475	0.2248791709419846	97
Hidden Frame	0.2239999999999999	0.201207679263881	27
Hidden Frame	0.5705	3.0772939181534738	4
Hidden Frame	0.186	0.201207679263881	60
Hidden Frame	0.293	0.0828502208733627	5
Hidden Frame	0.3245	0.1775361875857773	10
Gene Fusion	0.7104999999999999	2.284298946937002	46
Hidden Frame	0.07325	0.3550723751715547	15
Hidden Frame	0.201	5.349757119251424	28
Gene Fusion	0.22575	0.4971013252401766	33
Indel	0.1664	0.0118357458390518	23
Hidden Frame	0.308	0.0355072375171554	37
Hidden Frame	0.308	1.2427533131004411	39
Hidden Frame	0.308	0.0710144750343109	35
Hidden Frame	0.308	0.0828502208733627	46
Hidden Frame	0.188	0.0710144750343109	35
Indel	0.1999	0.2248791709419846	58
Hidden Frame	0.201	0.0828502208733627	98
Hidden Frame	0.201	0.1420289500686218	104
Hidden Frame	0.201	0.0710144750343109	53
Hidden Frame	0.201	0.7929949712164721	41
Gene Fusion	0.258	0.1065217125514664	74
Gene Fusion	0.397	0.0118357458390518	10
Hidden Frame	0.186	0.0473429833562072	59
Hidden Frame	0.123	1.88188358840924	15
Hidden Frame	0.383	1.1954103297442342	10
Hidden Frame	0.188	0.6272945294697466	35
Hidden Frame	0.2009999999999999	31.636948627785525	16
Gene Fusion	0.0415	3.751931430979428	27
Gene Fusion	0.7104999999999999	0.201207679263881	70
Hidden Frame	0.188	0.2958936459762956	40
Hidden Frame	0.418	0.2603864084591401	8
Gene Fusion	0.7104999999999999	2.3553134219713128	15
Hidden Frame	0.1465	0.4379225960449174	10
Hidden Frame	0.2009999999999999	5.51545756099815	36
Hidden Frame	0.186	1.1125601088708714	35
Hidden Frame	0.2694999999999999	0.7101447503431094	8
Gene Fusion	0.7104999999999999	2.828743255533386	9
Hidden Frame	0.1465	0.5089370710792284	38
Hidden Frame	0.1465	0.1538646959076737	6
Gene Fusion	0.7104999999999999	4.166182535346242	21
Hidden Frame	0.3935	0.0946859667124145	3
Hidden Frame	0.418	0.0473429833562072	4
Gene Fusion	0.7104999999999999	4.201689772863397	63
Gene Fusion	0.243	0.1538646959076737	19
Hidden Frame	0.123	0.0946859667124145	28
Gene Fusion	0.243	0.0355072375171554	14
Hidden Frame	0.1465	0.4615940877230211	20
Hidden Frame	0.5705	22.33405239829079	1
Hidden Frame	0.123	0.532608562757332	4
Hidden Frame	0.2694999999999999	0.1065217125514664	25
Hidden Frame	0.3245	0.4734298335620729	53
Gene Fusion	0.22575	0.0355072375171554	10
Hidden Frame	0.3245	0.7811592253774203	52
Gene Fusion	0.22575	0.1183574583905182	19
Gene Fusion	0.3855	0.0231762165850813	16
Hidden Frame	0.65	1.52963029461537	80
Hidden Frame	0.2625	0.9734010965734172	53
Gene Fusion	0.2734999999999999	1.6918638107109394	7
Hidden Frame	0.3095	52.65636408130486	6
Gene Fusion	0.261	2.4335027414335437	16
Gene Fusion	0.4275	2.4335027414335437	3
Hidden Frame	0.4405	0.0507924124262621	19
Gene Fusion	0.4095	0.3174525776641382	30
Gene Fusion	0.5935	0.5333203304757522	99
Gene Fusion	0.237	1.028546351631808	35
Gene Fusion	0.237	0.025396206213131	44
Gene Fusion	0.514	0.0761886186393931	3
Indel	0.2472	0.1396791341722208	4
Hidden Frame	0.223	0.0380943093196965	6
Hidden Frame	0.3994999999999999	0.3301506807707037	7
Indel	0.9808	0.025396206213131	7
Gene Fusion	0.3512499999999999	0.4444336087297934	10
Hidden Frame	0.4385	0.025396206213131	66
Hidden Frame	0.6995	0.2031696497050484	22
Indel	0.9808	0.025396206213131	20
Hidden Frame	0.3994999999999999	5.891919841446406	16
Hidden Frame	0.449	0.2031696497050484	10
Hidden Frame	0.74	0.025396206213131	26
Gene Fusion	0.514	0.1904715465984829	56
Hidden Frame	0.5845	0.025396206213131	15
Hidden Frame	0.5965	0.0380943093196965	10
Hidden Frame	0.6995	0.025396206213131	42
Indel	0.4578	0.0888867217459587	2
Hidden Frame	0.223	1.6253571976403878	3
Hidden Frame	0.5845	0.0126981031065655	24
Hidden Frame	0.5845	0.0380943093196965	53
Hidden Frame	0.6995	0.1269810310656552	22
Hidden Frame	0.548	4.406241777978239	10
Hidden Frame	0.0225	0.0126981031065655	9
Gene Fusion	0.4095	0.1650753403853518	1
Gene Fusion	0.375	2.2258870634124346	41
Gene Fusion	0.375	3.056675896939611	7
Indel	0.4042	0.0470257830298401	41
Indel	0.4042	0.0313505220198934	31
Indel	0.305	0.0156752610099467	33
Indel	0.2786	2.1475107583627007	16
Hidden Frame	0.275	1.6459024060444056	33
Hidden Frame	0.305	0.0469163479639149	20
Gene Fusion	1.01225	0.1642072178737023	9
Hidden Frame	0.491	0.8713996341705899	22
Gene Fusion	0.2778333333333333	3.48559853668236	92
Indel	0.4508	2.931071496755621	12
Indel	0.4508	2.6934170510727324	44
Indel	0.4508	8959.334947799201	13
Hidden Frame	0.2234999999999999	0.0792181485609627	62
Hidden Frame	0.2234999999999999	0.0792181485609627	42
Hidden Frame	0.0715	0.0792181485609627	4
Hidden Frame	0.4679999999999999	0.1584362971219254	4
Gene Fusion	0.2535	1.0298359312925154	4
Gene Fusion	0.694	2.2973263082679187	32
Hidden Frame	0.0595	0.2376544456828881	9
Hidden Frame	0.512	0.0792181485609627	4
Gene Fusion	0.423	0.1584362971219254	1
Gene Fusion	0.0826666666666666	0.0792181485609627	62
Gene Fusion	0.0826666666666666	0.1584362971219254	124
Indel	0.8229	0.0792181485609627	60
Hidden Frame	0.0805	0.23765444568288807	39
Hidden Frame	0.0615	0.0792181485609627	36
