self_sim	type	med	mea
0.6444444444444445	NOP	0.7192982456140351	0.73
0.5254237288135594	NOP	0.7192982456140351	0.73
0.9491525423728814	NOP	0.7192982456140351	0.73
0.6206896551724138	NOP	0.7192982456140351	0.73
0.625	NOP	0.7192982456140351	0.73
0.6808510638297872	NOP	0.7192982456140351	0.73
0.7619047619047619	NOP	0.7192982456140351	0.73
0.875	NOP	0.7192982456140351	0.73
0.8	NOP	0.7192982456140351	0.73
0.6521739130434783	NOP	0.7192982456140351	0.73
0.8	NOP	0.7192982456140351	0.73
0.7	NOP	0.7192982456140351	0.73
0.631578947368421	NOP	0.7192982456140351	0.73
0.8095238095238095	NOP	0.7192982456140351	0.73
0.7017543859649122	NOP	0.7192982456140351	0.73
0.9259259259259259	NOP	0.7192982456140351	0.73
0.717391304347826	NOP	0.7192982456140351	0.73
1	NOP	0.7192982456140351	0.73
0.775	NOP	0.7192982456140351	0.73
0.6470588235294118	NOP	0.7192982456140351	0.73
0.7380952380952381	NOP	0.7192982456140351	0.73
0.625	NOP	0.7192982456140351	0.73
0.7619047619047619	NOP	0.7192982456140351	0.73
0.7142857142857143	NOP	0.7192982456140351	0.73
0.717391304347826	NOP	0.7192982456140351	0.73
0.7446808510638298	NOP	0.7192982456140351	0.73
0.68	NOP	0.7192982456140351	0.73
0.8536585365853658	NOP	0.7192982456140351	0.73
0.7272727272727273	NOP	0.7192982456140351	0.73
0.782608695652174	NOP	0.7192982456140351	0.73
0.6862745098039216	NOP	0.7192982456140351	0.73
0.723404255319149	NOP	0.7192982456140351	0.73
1	NOP	0.7192982456140351	0.73
0.6818181818181818	NOP	0.7192982456140351	0.73
0.6818181818181818	NOP	0.7192982456140351	0.73
0.7708333333333334	NOP	0.7192982456140351	0.73
0.6851851851851852	NOP	0.7192982456140351	0.73
0.7142857142857143	NOP	0.7192982456140351	0.73
0.7346938775510204	NOP	0.7192982456140351	0.73
0.7254901960784313	NOP	0.7192982456140351	0.73
0.8372093023255814	NOP	0.7192982456140351	0.73
0.6037735849056604	NOP	0.7192982456140351	0.73
0.717391304347826	NOP	0.7192982456140351	0.73
0.6153846153846154	NOP	0.7192982456140351	0.73
0.6666666666666666	NOP	0.7192982456140351	0.73
0.7380952380952381	NOP	0.7192982456140351	0.73
0.7380952380952381	NOP	0.7192982456140351	0.73
0.7317073170731707	NOP	0.7192982456140351	0.73
0.723404255319149	NOP	0.7192982456140351	0.73
0.7727272727272727	NOP	0.7192982456140351	0.73
0.5384615384615384	NOP	0.7192982456140351	0.73
0.6666666666666666	NOP	0.7192982456140351	0.73
0.6481481481481481	NOP	0.7192982456140351	0.73
0.8571428571428571	NOP	0.7192982456140351	0.73
0.7111111111111111	NOP	0.7192982456140351	0.73
0.660377358490566	NOP	0.7192982456140351	0.73
0.7647058823529411	NOP	0.7192982456140351	0.73
0.7647058823529411	NOP	0.7192982456140351	0.73
0.8269230769230769	NOP	0.7192982456140351	0.73
0.8461538461538461	NOP	0.7192982456140351	0.73
0.7755102040816326	NOP	0.7192982456140351	0.73
0.6888888888888889	NOP	0.7192982456140351	0.73
0.8043478260869565	NOP	0.7192982456140351	0.73
1	NOP	0.7192982456140351	0.73
0.6666666666666666	NOP	0.7192982456140351	0.73
0.6595744680851063	NOP	0.7192982456140351	0.73
0.6511627906976745	NOP	0.7192982456140351	0.73
0.7692307692307693	NOP	0.7192982456140351	0.73
0.6938775510204082	NOP	0.7192982456140351	0.73
0.6666666666666666	NOP	0.7192982456140351	0.73
1	NOP	0.7192982456140351	0.73
0.7636363636363637	NOP	0.7192982456140351	0.73
0.6666666666666666	NOP	0.7192982456140351	0.73
0.7333333333333333	NOP	0.7192982456140351	0.73
0.925	NOP	0.7192982456140351	0.73
0.6785714285714286	NOP	0.7192982456140351	0.73
0.6875	NOP	0.7192982456140351	0.73
0.7021276595744681	NOP	0.7192982456140351	0.73
0.746031746031746	NOP	0.7192982456140351	0.73
0.7037037037037037	NOP	0.7192982456140351	0.73
0.7021276595744681	NOP	0.7192982456140351	0.73
0.7115384615384616	NOP	0.7192982456140351	0.73
0.5740740740740741	NOP	0.7192982456140351	0.73
0.75	NOP	0.7192982456140351	0.73
1	NOP	0.7192982456140351	0.73
0.7391304347826086	NOP	0.7192982456140351	0.73
0.7346938775510204	NOP	0.7192982456140351	0.73
0.7254901960784313	NOP	0.7192982456140351	0.73
0.75	NOP	0.7192982456140351	0.73
0.6153846153846154	NOP	0.7192982456140351	0.73
0.66	NOP	0.7192982456140351	0.73
0.8163265306122449	NOP	0.7192982456140351	0.73
0.9272727272727272	NOP	0.7192982456140351	0.73
0.8863636363636364	NOP	0.7192982456140351	0.73
0.7857142857142857	NOP	0.7192982456140351	0.73
0.6808510638297872	NOP	0.7192982456140351	0.73
0.7209302325581395	NOP	0.7192982456140351	0.73
0.6379310344827587	NOP	0.7192982456140351	0.73
0.7192982456140351	NOP	0.7192982456140351	0.73
0.68	NOP	0.7192982456140351	0.73
0.6666666666666666	NOP	0.7192982456140351	0.73
0.9069767441860465	NOP	0.7192982456140351	0.73
0.7547169811320755	NOP	0.7192982456140351	0.73
0.6744186046511628	NOP	0.7192982456140351	0.73
1	NOP	0.7192982456140351	0.73
0.6730769230769231	NOP	0.7192982456140351	0.73
0.717391304347826	NOP	0.7192982456140351	0.73
0.6521739130434783	NOP	0.7192982456140351	0.73
0.7021276595744681	NOP	0.7192982456140351	0.73
0.5882352941176471	NOP	0.7192982456140351	0.73
0.6739130434782609	NOP	0.7192982456140351	0.73
0.8048780487804879	NOP	0.7192982456140351	0.73
0.6904761904761905	NOP	0.7192982456140351	0.73
0.7111111111111111	NOP	0.7192982456140351	0.73
0.6909090909090909	NOP	0.7192982456140351	0.73
0.85	NOP	0.7192982456140351	0.73
0.7333333333333333	NOP	0.7192982456140351	0.73
0.5901639344262295	NOP	0.7192982456140351	0.73
0.6363636363636364	NOP	0.7192982456140351	0.73
0.6976744186046512	NOP	0.7192982456140351	0.73
0.625	NOP	0.7192982456140351	0.73
0.8292682926829268	NOP	0.7192982456140351	0.73
0.7555555555555555	NOP	0.7192982456140351	0.73
0.7954545454545454	NOP	0.7192982456140351	0.73
0.6888888888888889	NOP	0.7192982456140351	0.73
0.6590909090909091	NOP	0.7192982456140351	0.73
0.6538461538461539	NOP	0.7192982456140351	0.73
0.723404255319149	NOP	0.7192982456140351	0.73
0.66	NOP	0.7192982456140351	0.73
0.8958333333333334	NOP	0.7192982456140351	0.73
0.723404255319149	NOP	0.7192982456140351	0.73
0.7045454545454546	NOP	0.7192982456140351	0.73
0.6274509803921569	NOP	0.7192982456140351	0.73
0.8703703703703703	NOP	0.7192982456140351	0.73
0.6078431372549019	NOP	0.7192982456140351	0.73
0.6666666666666666	NOP	0.7192982456140351	0.73
0.7058823529411765	NOP	0.7192982456140351	0.73
0.6097560975609756	NOP	0.7192982456140351	0.73
0.7272727272727273	NOP	0.7192982456140351	0.73
0.7333333333333333	NOP	0.7192982456140351	0.73
0.7555555555555555	NOP	0.7192982456140351	0.73
1	NOP	0.7192982456140351	0.73
0.6976744186046512	NOP	0.7192982456140351	0.73
0.775	NOP	0.7192982456140351	0.73
0.5333333333333333	NOP	0.7192982456140351	0.73
0.75	NOP	0.7192982456140351	0.73
0.723404255319149	NOP	0.7192982456140351	0.73
0.7142857142857143	NOP	0.7192982456140351	0.73
0.6981132075471698	NOP	0.7192982456140351	0.73
0.675	NOP	0.7192982456140351	0.73
0.6481481481481481	NOP	0.7192982456140351	0.73
0.7317073170731707	NOP	0.7192982456140351	0.73
0.7291666666666666	NOP	0.7192982456140351	0.73
0.7	NOP	0.7192982456140351	0.73
0.7659574468085106	NOP	0.7192982456140351	0.73
0.6956521739130435	NOP	0.7192982456140351	0.73
0.6818181818181818	NOP	0.7192982456140351	0.73
0.7209302325581395	NOP	0.7192982456140351	0.73
0.6341463414634146	NOP	0.7192982456140351	0.73
0.7090909090909091	NOP	0.7192982456140351	0.73
0.6862745098039216	NOP	0.7192982456140351	0.73
0.7551020408163265	NOP	0.7192982456140351	0.73
0.7	NOP	0.7192982456140351	0.73
0.7058823529411765	NOP	0.7192982456140351	0.73
0.673469387755102	NOP	0.7192982456140351	0.73
0.8409090909090909	NOP	0.7192982456140351	0.73
0.6808510638297872	NOP	0.7192982456140351	0.73
0.6829268292682927	NOP	0.7192982456140351	0.73
0.6	NOP	0.7192982456140351	0.73
0.6981132075471698	NOP	0.7192982456140351	0.73
0.6808510638297872	NOP	0.7192982456140351	0.73
0.74	NOP	0.7192982456140351	0.73
0.6792452830188679	NOP	0.7192982456140351	0.73
0.7317073170731707	NOP	0.7192982456140351	0.73
0.7254901960784313	NOP	0.7192982456140351	0.73
0.6981132075471698	NOP	0.7192982456140351	0.73
0.9285714285714286	NOP	0.7192982456140351	0.73
0.7115384615384616	NOP	0.7192982456140351	0.73
0.6739130434782609	NOP	0.7192982456140351	0.73
0.6888888888888889	NOP	0.7192982456140351	0.73
0.6346153846153846	NOP	0.7192982456140351	0.73
0.8823529411764706	NOP	0.7192982456140351	0.73
0.8235294117647058	NOP	0.7192982456140351	0.73
0.6964285714285714	NOP	0.7192982456140351	0.73
0.6607142857142857	NOP	0.7192982456140351	0.73
0.7735849056603774	NOP	0.7192982456140351	0.73
